Block MASS   #
  #  PDG code     mass                 particle
        0       0.000    # void
        1       0.330    # d
        2       0.330    # u
        3       0.500    # s
        4       1.500    # c
        5       4.800    # b
        6     173.000    # t
        7     400.000    # b'
        8     400.000    # t'
       11       0.001    # e-
       12       0.000    # nu_e
       13       0.106    # mu-
       14       0.000    # nu_mu
       15       1.777    # tau-
       16       0.000    # nu_tau
       17     400.000    # tau'-
       18     400.000    # nu'_tau
       21       0.000    # g
       22       0.000    # gamma
       23      91.188    # Z0
       24      80.385    # W+
       25     125.000    # h0
       32     500.000    # Z'0
       33     900.000    # Z''0
       34     500.000    # W'+
       35     399.960    # H0
       36     399.584    # A0
       37     407.879    # H+
       39       0.000    # Graviton
       40       0.000    # BlackHole
       41    5000.000    # R0
       42     200.000    # LQ_u,e-
       45     500.000    # H_3
       46     500.000    # A_2
       51     100.000    # DM(s=0)
       52     100.000    # DM(s=1/2)
       53     100.000    # DM(s=1)
       54     500.000    # DMmed(s=0)
       55     500.000    # DMmed(s=1)
       56     100.000    # Sl (DM)
       57     100.000    # DM+
       58     100.000    # DM2
       59     100.000    # DM++
       60     100.000    # DM?5
       81       0.000    # specflav
       82       0.000    # rndmflavq
       83       0.000    # rndmflavg
       90       0.000    # system
       93      91.188    # Z0copy
       94      80.385    # W+copy
      110       0.000    # Reggeon
      111       0.135    # pi0
      113       0.775    # rho0
      115       1.318    # a_20
      130       0.498    # K_L0
      211       0.140    # pi+
      213       0.775    # rho+
      215       1.318    # a_2+
      221       0.548    # eta
      223       0.783    # omega
      225       1.275    # f_2
      310       0.498    # K_S0
      311       0.498    # K0
      313       0.896    # K*0
      315       1.432    # K*_2(1430)0
      321       0.494    # K+
      323       0.892    # K*+
      325       1.426    # K*_2(1430)+
      331       0.958    # eta'
      333       1.019    # phi
      335       1.525    # f'_2(1525)
      411       1.870    # D+
      413       2.010    # D*+
      415       2.464    # D*_2(2460)+
      421       1.865    # D0
      423       2.007    # D*0
      425       2.463    # D*_2(2460)0
      431       1.968    # D_s+
      433       2.112    # D*_s+
      435       2.572    # D*_2s(2573)+
      441       2.981    # eta_c
      443       3.097    # J/psi
      445       3.556    # chi_2c
      511       5.280    # B0
      513       5.325    # B*0
      515       5.743    # B*_20
      521       5.279    # B+
      523       5.325    # B*+
      525       5.743    # B*_2+
      531       5.367    # B_s0
      533       5.415    # B*_s0
      535       5.840    # B*_2s0
      541       6.277    # B_c+
      543       6.340    # B*_c+
      545       7.350    # B*_2c+
      551       9.400    # eta_b
      553       9.460    # Upsilon
      555       9.912    # chi_2b
      990       0.000    # Pomeron
     1103       0.771    # dd_1
     1114       1.232    # Delta-
     2101       0.579    # ud_0
     2103       0.771    # ud_1
     2112       0.940    # n0
     2114       1.232    # Delta0
     2203       0.771    # uu_1
     2212       0.938    # p+
     2214       1.232    # Delta+
     2224       1.232    # Delta++
     3101       0.805    # sd_0
     3103       0.930    # sd_1
     3112       1.197    # Sigma-
     3114       1.387    # Sigma*-
     3122       1.116    # Lambda0
     3201       0.805    # su_0
     3203       0.930    # su_1
     3212       1.193    # Sigma0
     3214       1.384    # Sigma*0
     3222       1.189    # Sigma+
     3224       1.383    # Sigma*+
     3303       1.094    # ss_1
     3312       1.322    # Xi-
     3314       1.535    # Xi*-
     3322       1.315    # Xi0
     3324       1.532    # Xi*0
     3334       1.672    # Omega-
     4101       1.969    # cd_0
     4103       2.008    # cd_1
     4112       2.454    # Sigma_c0
     4114       2.519    # Sigma*_c0
     4122       2.286    # Lambda_c+
     4124       2.628    # Lambda_c(2625)+
     4132       2.471    # Xi_c0
     4201       1.969    # cu_0
     4203       2.008    # cu_1
     4212       2.453    # Sigma_c+
     4214       2.518    # Sigma*_c+
     4222       2.454    # Sigma_c++
     4224       2.518    # Sigma*_c++
     4232       2.468    # Xi_c+
     4301       2.154    # cs_0
     4303       2.180    # cs_1
     4312       2.578    # Xi'_c0
     4314       2.646    # Xi*_c0
