Block MASS   #
  #  PDG code     mass                 particle
       41    5000.000    # R0
      110       0.000    # Reggeon
  1000021    1800.000    # ~g
  1000512  100000.525    # R0(~b dbar)
  1000522  100000.525    # R-(~b ubar)
  1000532  100000.700    # R0(~b sbar)
  1000542  100001.800    # R-(~b cbar)
  1000552  100005.200    # R0(~b bbar)
  1000612  100000.525    # R+(~t dbar)
  1000622  100000.525    # R0(~t ubar)
  1000632  100000.700    # R+(~t sbar)
  1000642  100001.800    # R0(~t cbar)
  1000652  100005.200    # R+(~t bbar)
  1000993    1801.100    # R0(~g g)
  1005113  100000.850    # R-(~b dd1)
  1005211  100000.850    # R0(~b ud0)
  1005213  100000.850    # R0(~b ud1)
  1005223  100000.850    # R+(~b uu1)
  1005311  100001.025    # R-(~b sd0)
  1005313  100001.025    # R-(~b sd1)
  1005321  100001.025    # R0(~b su0)
  1005323  100001.025    # R0(~b su1)
  1005333  100001.200    # R-(~b ss1)
  1006113  100000.850    # R0(~t dd1)
  1006211  100000.850    # R+(~t ud0)
  1006213  100000.850    # R+(~t ud1)
  1006223  100000.850    # R++(~t uu1)
  1006311  100001.025    # R0(~t sd0)
  1006313  100001.025    # R0(~t sd1)
  1006321  100001.025    # R+(~t su0)
  1006323  100001.025    # R+(~t su1)
  1006333  100001.200    # R0(~t ss1)
  1009002     500.000    # Rtemp(~g q)
  1009113    1801.050    # R0(~g d dbar)
  1009213    1801.050    # R+(~g u dbar)
  1009223    1801.050    # R0(~g u ubar)
  1009313    1801.225    # R0(~g d sbar)
  1009323    1801.225    # R+(~g u sbar)
  1009333    1801.400    # R0(~g s sbar)
  1009413    1802.325    # R+(~g c dbar)
  1009423    1802.325    # R0(~g c ubar)
  1009433    1802.500    # R+(~g c sbar)
  1009443    1803.600    # R0(~g c cbar)
  1009513    1805.725    # R0(~g d bbar)
  1009523    1805.725    # R+(~g u bbar)
  1009533    1805.900    # R0(~g s bbar)
  1009543    1807.000    # R+(~g c bbar)
  1009553    1810.400    # R0(~g b bbar)
  1091114    1801.375    # R-(~g ddd)
  1092114    1801.375    # R0(~g udd)
  1092214    1801.375    # R+(~g uud)
  1092224    1801.375    # R++(~g uuu)
  1093114    1801.550    # R-(~g sdd)
  1093214    1801.550    # R0(~g sud)
  1093224    1801.550    # R+(~g suu)
  1093314    1801.725    # R-(~g ssd)
  1093324    1801.725    # R0(~g ssu)
  1093334    1801.900    # R-(~g sss)
  1094114    1802.650    # R0(~g cdd)
  1094214    1802.650    # R+(~g cud)
  1094224    1802.650    # R++(~g cuu)
  1094314    1802.825    # R0(~g csd)
  1094324    1802.825    # R+(~g csu)
  1094334    1803.000    # R0(~g css)
  1095114    1806.050    # R-(~g bdd)
  1095214    1806.050    # R0(~g bud)
  1095224    1806.050    # R+(~g buu)
  1095314    1806.225    # R-(~g bsd)
  1095324    1806.225    # R0(~g bsu)
  1095334    1806.400    # R-(~g bss)
