Block MASS   #
  #  PDG code     mass                 particle
  1000021    1800.000    # ~g
  1000993    1801.100    # R0(~g g)
  1009002     500.000    # Rtemp(~g q)
  1009113    1801.050    # R0(~g d dbar)
  1009213    1801.050    # R+(~g u dbar)
  1009223    1801.050    # R0(~g u ubar)
  1009313    1801.225    # R0(~g d sbar)
  1009323    1801.225    # R+(~g u sbar)
  1009333    1801.400    # R0(~g s sbar)
  1009413    1802.325    # R+(~g c dbar)
  1009423    1802.325    # R0(~g c ubar)
  1009433    1802.500    # R+(~g c sbar)
  1009443    1803.600    # R0(~g c cbar)
  1009513    1805.725    # R0(~g d bbar)
  1009523    1805.725    # R+(~g u bbar)
  1009533    1805.900    # R0(~g s bbar)
  1009543    1807.000    # R+(~g c bbar)
  1009553    1810.400    # R0(~g b bbar)
  1091114    1801.375    # R-(~g ddd)
  1092114    1801.375    # R0(~g udd)
  1092214    1801.375    # R+(~g uud)
  1092224    1801.375    # R++(~g uuu)
  1093114    1801.550    # R-(~g sdd)
  1093214    1801.550    # R0(~g sud)
  1093224    1801.550    # R+(~g suu)
  1093314    1801.725    # R-(~g ssd)
  1093324    1801.725    # R0(~g ssu)
  1093334    1801.900    # R-(~g sss)
  1094114    1802.650    # R0(~g cdd)
  1094214    1802.650    # R+(~g cud)
  1094224    1802.650    # R++(~g cuu)
  1094314    1802.825    # R0(~g csd)
  1094324    1802.825    # R+(~g csu)
  1094334    1803.000    # R0(~g css)
  1095114    1806.050    # R-(~g bdd)
  1095214    1806.050    # R0(~g bud)
  1095224    1806.050    # R+(~g buu)
  1095314    1806.225    # R-(~g bsd)
  1095324    1806.225    # R0(~g bsu)
  1095334    1806.400    # R-(~g bss)
