#Exclusive (bad private samples)
species,    mass,   ptj,    ptb,    xqcut(MG5), qcut(P8), Summary Cross_section (Generation log),Summary Cross_section Error (Generation log), Process@1, Process@1 Error,  Process@2, Process@2 Error,     Process@3,  Process@3 Error,    Cross-section Sum @2-3, Cross-section Sum @2-3 Error,  Cross-section Sum @2-3/Total Cross-section,  Cross-section Sum @2-3/Total Cross-section Error, Ratio: Excusive/Inclusive(Sum @2-3)
gluino,     1000,   150,    150,    150,        150,      0.2686,                                0.0009696,                                    1.87E-01,  6.92E-04,         6.85E-02,  1.12E-03,            1.43E-02,   2.17E-04,           8.29E-02,               1.14E-03,                      3.085E-01,                                   4.401E-03,                                        N/A
gluino,     1100,   150,    150,    150,        150,      0.1332,                                0.000434,                                     9.22E-02,  3.44E-04,         3.48E-02,  5.43E-04,            7.07E-03,   1.07E-04,           4.19E-02,               5.53E-04,                      3.144E-01,                                   4.279E-03,                                        N/A
gluino,     1200,   150,    150,    150,        150,      0.06853,                               0.0002745,                                    4.72E-02,  2.11E-04,         1.78E-02,  2.76E-04,            3.85E-03,   5.87E-05,           2.17E-02,               2.82E-04,                      3.161E-01,                                   4.306E-03,                                        N/A
gluino,     1300,   150,    150,    150,        150,      0.03608,                               0.0001294,                                    2.48E-02,  1.14E-04,         9.47E-03,  1.42E-04,            2.05E-03,   2.97E-05,           1.15E-02,               1.45E-04,                      3.193E-01,                                   4.189E-03,                                        N/A
gluino,     1400,   150,    150,    150,        150,      0.01956,                               5.31E-05,                                     1.34E-02,  5.27E-05,         5.15E-03,  7.94E-05,            1.13E-03,   1.71E-05,           6.28E-03,               8.12E-05,                      3.213E-01,                                   4.244E-03,                                        N/A
gluino,     1500,   150,    150,    150,        150,      0.01082,                               4.17E-05,                                     7.41E-03,  3.47E-05,         2.80E-03,  4.31E-05,            6.71E-04,   1.23E-05,           3.47E-03,               4.48E-05,                      3.211E-01,                                   4.321E-03,                                        N/A
gluino,     1600,   150,    150,    150,        150,      0.00608,                               2.07E-05,                                     4.18E-03,  1.98E-05,         1.57E-03,  2.25E-05,            3.70E-04,   5.89E-06,           1.94E-03,               2.32E-05,                      3.190E-01,                                   3.973E-03,                                        N/A
gluino,     1800,   150,    150,    150,        150,      0.002025,                              6.93E-06,                                     1.40E-03,  6.85E-06,         5.20E-04,  8.11E-06,            1.23E-04,   1.86E-06,           6.44E-04,               8.32E-06,                      3.179E-01,                                   4.250E-03,                                        N/A
gluino,     2000,   150,    150,    150,        150,      0.0007152,                             2.53E-06,                                     4.96E-04,  2.46E-06,         1.83E-04,  3.07E-06,            3.88E-05,   5.93E-07,           2.22E-04,               3.13E-06,                      3.103E-01,                                   4.511E-03,                                        N/A
gluino,     2200,   150,    150,    150,        150,      0.0002672,                             7.11E-07,                                     1.87E-04,  8.84E-07,         6.66E-05,  1.14E-06,            1.41E-05,   2.11E-07,           8.07E-05,               1.16E-06,                      3.018E-01,                                   4.419E-03,                                        N/A
gluino,     2400,   150,    150,    150,        150,      0.000106,                              3.27E-07,                                     7.56E-05,  3.78E-07,         2.59E-05,  4.70E-07,            5.31E-06,   7.87E-08,           3.12E-05,               4.77E-07,                      2.942E-01,                                   4.589E-03,                                        N/A
gluino,     2600,   150,    150,    150,        150,      4.50E-05,                              1.47E-07,                                     3.28E-05,  1.75E-07,         1.03E-05,  1.83E-07,            2.13E-06,   3.43E-08,           1.24E-05,               1.86E-07,                      2.754E-01,                                   4.232E-03,                                        N/A

#Inclusive
gluino,     1000,   0,   `   0,      0,        N/A,      Need to generate
gluino,     1000,   20,     20,     20,        N/A,       1.115,                                 0.00311,                                      1.87E-01,  1.07E-03,         3.98E-01, 5.35E-03,             5.19E-01,   6.14E-03,           9.17E-01,               8.14E-03,                      8.220E-01,                                   7.653E-03,                                        9.04E-02
gluino,     1000,   20,     20,     40,        N/A,       0.6181,                                0.001318,                                     1.87E-01,  8.04E-04,         2.44E-01, 3.26E-03,             1.86E-01,   2.53E-03,           4.30E-01,               4.13E-03,                      6.962E-01,                                   6.840E-03,                                        1.93E-01
gluino,     1000,   20,     20,     50,        N/A,       0.52,                                  0.00122,                                      1.87E-01,  7.63E-04,         2.04E-01, 2.71E-03,             1.27E-01,   1.67E-03,           3.32E-01,               3.18E-03,                      6.376E-01,                                   6.300E-03,                                        2.50E-01

gluino,     1100,   0,      0,      0,         N/A,      Need to generate
gluino,     1100,   20,     20,     20,        N/A,       0.5493,                                0.0009684,                                    9.23E-02,  5.45E-04,         1.99E-01, 2.73E-03,             2.55E-01,   2.71E-03,           4.54E-01,               3.84E-03,                      8.259E-01,                                   7.145E-03,                                        9.23E-02
gluino,     1100,   20,     20,     40,        N/A,       0.3069,                                0.0006371,                                    9.21E-02,  4.16E-04,         1.19E-01, 1.54E-03,             9.35E-02,   1.21E-03,           2.13E-01,               1.96E-03,                      6.931E-01,                                   6.540E-03,                                        1.97E-01
gluino,     1100,   20,     20,     50,        N/A,       0.2577,                                0.0006149,                                    9.23E-02,  3.86E-04,         1.01E-01, 1.24E-03,             6.39E-02,   8.05E-04,           1.64E-01,               1.48E-03,                      6.383E-01,                                   5.937E-03,                                        2.55E-01

gluino,     1200,   0,      0,      0,         N/A,      Need to generate   
gluino,     1200,   20,     20,     20,        N/A,       0.2808,                                0.0006738,                                    4.72E-02,  3.28E-04,         1.01E-01, 1.38E-03,             1.30E-01,   1.42E-03,           2.31E-01,               1.99E-03,                      8.223E-01,                                   7.341E-03,                                        9.38E-02
gluino,     1200,   20,     20,     40,        N/A,       0.1568,                                0.0003798,                                    4.71E-02,  2.53E-04,         6.08E-02, 7.91E-04,             4.82E-02,   6.31E-04,           1.09E-01,               1.01E-03,                      6.953E-01,                                   6.671E-03,                                        1.99E-01
gluino,     1200,   20,     20,     50,        N/A,       0.1319,                                0.000349,                                     4.72E-02,  2.31E-04,         5.15E-02, 6.16E-04,             3.30E-02,   4.34E-04,           8.46E-02,               7.54E-04,                      6.411E-01,                                   5.961E-03,                                        2.56E-01

gluino,     1300,   0,      0,      0,         N/A,      Need to generate   
gluino,     1300,   20,     20,     20,        N/A,       0.1472,                                0.0004418,                                    2.48E-02,  1.77E-04,         5.29E-02,  7.32E-04,             6.90E-02,   8.47E-04,           1.22E-01,               1.12E-03,                      8.280E-01,                                   8.002E-03,                                        9.45E-02
gluino,     1300,   20,     20,     40,        N/A,       0.08248,                               0.0001855,                                    2.48E-02,  1.37E-04,         3.18E-02,  4.37E-04,             2.55E-02,   3.22E-04,           5.73E-02,               5.43E-04,                      6.950E-01,                                   6.765E-03,                                        2.01E-01
gluino,     1300,   20,     20,     50,        N/A,       0.0696,                                0.0001802,                                    2.48E-02,  1.26E-04,         2.69E-02,  3.33E-04,             1.73E-02,   2.27E-04,           4.42E-02,               4.03E-04,                      6.353E-01,                                   6.020E-03,                                        2.61E-01

gluino,     1400,   0,      0,      0,         N/A,      Need to generate
gluino,     1400,   20,     20,     20,        N/A,       0.07887,                               0.0001321,                                    1.34E-02,  8.41E-05,         2.84E-02,  3.49E-04,             3.71E-02,   4.30E-04,           6.56E-02,               5.54E-04,                      8.314E-01,                                   7.157E-03,                                        9.58E-02
gluino,     1400,   20,     20,     40,        N/A,       0.04443,                               9.04E-05,                                     1.34E-02,  6.40E-05,         1.73E-02,  2.31E-04,             1.36E-02,   1.56E-04,           3.09E-02,               2.79E-04,                      6.959E-01,                                   6.430E-03,                                        2.03E-01
gluino,     1400,   20,     20,     50,        N/A,       0.03752,                               8.55E-05,                                     1.34E-02,  5.87E-05,         1.45E-02,  1.94E-04,             9.57E-03,   1.18E-04,           2.40E-02,               2.28E-04,                      6.404E-01,                                   6.239E-03,                                        2.62E-01

gluino,     1500,   0,      0,      0,         N/A,      Need to generate
gluino,     1500,   20,     20,     20,        N/A,       0.04319,                               9.49E-05,                                    7.42E-03,  5.54E-05,         1.54E-02,  2.11E-04,             2.03E-02,   2.35E-04,           3.57E-02,               3.16E-04,                      8.268E-01,                                   7.532E-03,                                        9.73E-02
gluino,     1500,   20,     20,     40,        N/A,       0.02435,                               6.33E-05,                                    7.40E-03,  4.19E-05,         9.39E-03,  1.20E-04,             7.40E-03,   9.15E-05,           1.68E-02,               1.51E-04,                      6.897E-01,                                   6.438E-03,                                        2.07E-01
gluino,     1500,   20,     20,     50,        N/A,       0.02065,                               5.63E-05,                                    7.42E-03,  3.87E-05,         7.87E-03,  9.93E-05,             5.28E-03,   6.55E-05,           1.31E-02,               1.19E-04,                      6.368E-01,                                   6.015E-03,                                        2.64E-01

gluino,     1600,   0,      0,      0,         N/A,      Need to generate
gluino,     1600,   20,     20,     20,        N/A,       0.0241,                                4.90E-05,                                    4.19E-03,  2.22E-05,         4.42E-03,  5.77E-05,             2.92E-03,   3.48E-05,           7.34E-03,               6.74E-05,                      3.045E-01,                                   2.865E-03,                                        2.64E-01
gluino,     1600,   20,     20,     40,        N/A,       0.01366,                               3.13E-05,                                    4.18E-03,  2.42E-05,         5.27E-03,  6.56E-05,             4.23E-03,   5.13E-05,           9.50E-03,               8.32E-05,                      6.956E-01,                                   6.298E-03,                                        2.04E-01
gluino,     1600,   20,     20,     50,        N/A,       0.01156,                               2.54E-05,                                    4.17E-03,  3.17E-05,         8.70E-03,  1.18E-04,             1.12E-02,   1.20E-04,           1.99E-02,               1.69E-04,                      1.718E+00,                                   1.508E-02,                                        9.76E-02

gluino,     1800,   0,      0,      0,         N/A,      Need to generate
gluino,     1800,   20,     20,     20,        N/A,       0.00781,                               1.37E-05,                                    1.39E-03,  1.09E-05,         2.81E-03,  3.65E-05,             3.61E-03,   3.96E-05,           6.42E-03,               5.39E-05,                       8.22E-01,                                   7.05E-03,                                         1.00E-01
gluino,     1800,   20,     20,     40,        N/A,       0.004469,                              9.74E-06,                                    1.40E-03,  8.19E-06,         1.72E-03,  2.30E-05,             1.34E-03,   1.79E-05,           3.07E-03,               2.91E-05,                       6.86E-01,                                   6.69E-03,                                         2.10E-01
gluino,     1800,   20,     20,     50,        N/A,       0.003794,                              8.60E-06,                                    1.40E-03,  7.61E-06,         1.43E-03,  1.89E-05,             9.44E-04,   1.22E-05,           2.38E-03,               2.25E-05,                       6.27E-01,                                   6.10E-03,                                         2.71E-01

gluino,     2000,   0,      0,      0,         N/A,      Need to generate
gluino,     2000,   20,     20,     20,        N/A,       0.002681,                              4.97E-06,                                    4.95E-04,  3.86E-06,        9.70E-04,   1.36E-05,             1.21E-03,   1.38E-05,           2.18E-03,               1.93E-05,                       8.15E-01,                                   7.37E-03,                                         1.02E-01
gluino,     2000,   20,     20,     40,        N/A,       0.001549,                              3.40E-06,                                    4.97E-04,  2.89E-06,        5.94E-04,   7.63E-06,             4.52E-04,   5.78E-06,           1.05E-03,               9.57E-06,                       6.75E-01,                                   6.35E-03,                                         2.12E-01
gluino,     2000,   20,     20,     50,        N/A,       0.00132,                               3.19E-06,                                    4.96E-04,  2.69E-06,        4.99E-04,   6.44E-06,             3.23E-04,   4.40E-06,           8.22E-04,               7.80E-06,                       6.23E-01,                                   6.10E-03,                                         2.70E-01

gluino,     2200,   0,      0,      0,         N/A,      Need to generate
gluino,     2200,   20,     20,     20,        N/A,       0.0009638,                             2.16E-06,                                    1.87E-04,  1.24E-06,        3.53E-04,   4.57E-06,             4.29E-04,   5.15E-06,           7.82E-04,               6.88E-06,                       8.11E-01,                                   7.37E-03,                                         1.03E-01
gluino,     2200,   20,     20,     40,        N/A,       0.0005652,                             1.15E-06,                                    1.87E-04,  9.54E-07,        2.17E-04,   3.01E-06,             1.60E-04,   2.13E-06,           3.77E-04,               3.69E-06,                       6.67E-01,                                   6.66E-03,                                         2.14E-01
