PDGID,      oldName,         newName,          Pythia8_1800Mass,    Pythia8_namingScheme     
1000021,    ~g,              ~g,              1800.000,             ~g          
1000993,    ~g_glueball,     R0_~g_g,         1801.100,             R0(~g g)
1009213,    ~g_rho+,         R+_~g_u_dbar,    1801.050,             R+(~g u dbar)
1009313,    ~g_K*0,          R0_~g_d_sbar,    1801.225,             R0(~g d sbar)
1009323,    ~g_K*+,          R+_~g_u_sbar,    1801.225,             R+(~g u sbar)
1009113,    ~g_rho0,         R0_~g_d_dbar,    1801.050,             R0(~g d dbar)
1009223,    ~g_omega,        R0_~g_u_ubar,    1801.050,             R0(~g u ubar)
1009333,    ~g_phi,          R0_~g_s_sbar,    1801.400,             R0(~g s sbar)
1091114,    ~g_Delta-,       R-_~g_ddd,       1801.375,             R-(~g ddd) 
1092114,    ~g_Delta0,       R0_~g_udd,       1801.375,             R0(~g udd) 
1092214,    ~g_Delta+,       R+_~g_uud,       1801.375,             R+(~g uud)
1092224,    ~g_Delta++,      R++_~g_uuu,      1801.375,             R++(~g uuu)
1093114,    ~g_Sigma*-,      R-_~g_sdd,       1801.550,             R-(~g sdd)  
1093214,    ~g_Sigma*0,      R0_~g_sud,       1801.550,             R0(~g sud)
1093224,    ~g_Sigma*+,      R+_~g_suu,       1801.550,             R+(~g suu)
1093314,    ~g_Xi*-,         R-_~g_ssd,       1801.725,             R-(~g ssd)
1093324,    ~g_Xi*0,         R0_~g_ssu,       1801.725,             R0(~g ssu)  
1093334,    ~g_Omega-,       R-_~g_sss,       1801.900,             R-(~g sss)  
-1009213,   ~g_rho-,         R-_~g_d_ubar,    1801.050,             R-(~g d ubar) 
-1009313,   ~g_K*bar0,       R0_~g_s_dbar,    1801.225,             R0(~g s dbar)
-1009323,   ~g_K*-,          R-_~g_s_ubar,    1801.225,             R-(~g s ubar)
-1091114,   ~g_Deltabar+,    Rbar+_~g_ddd,    1801.375,             Rbar+(~g ddd)
-1092114,   ~g_Deltabar0,    Rbar0_~g_udd,    1801.375,             Rbar0(~g udd)
-1092214,   ~g_Deltabar-,    Rbar-_~g_uud,    1801.375,             Rbar-(~g uud)
-1092224,   ~g_Deltabar--,   Rbar--_~g_uuu,   1801.375,             Rbar--(~g uuu)
-1093114,   ~g_Sigma*bar+,   Rbar+_~g_sdd,    1801.550,             Rbar+(~g sdd)
-1093214,   ~g_Sigma*bar0,   Rbar0_~g_sud,    1801.550,             Rbar0(~g sud)
-1093224,   ~g_Sigma*bar-,   Rbar-_~g_suu,    1801.550,             Rbar-(~g suu)
