event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
1	-1	1009213	1801.05	-1.0	887.204	-1.19742	2.60501	-1009002,21,1	
1	-1	1009113	1801.05	0.0	1302.07	0.359251	-0.314746	1009002,21	
2	-1	1009113	1801.05	0.0	714.512	-0.392672	-0.301782	-1009002,21	
2	-1	1092114	1801.38	0.0	681.633	1.57362	2.72167	1009002,21	
6	-1	1009333	1801.4	0.0	192.414	-1.82187	-2.51341	-1009002,21,21	
6	-1	1009313	1801.22	0.0	232.029	1.82957	2.4439	1009002,-3	
7	-1	1092114	1801.38	0.0	354.648	2.34998	-2.9922	-1009002,21	
7	-1	1092114	1801.38	0.0	367.739	-1.25054	0.123454	-1009002,21	
11	-1	1092214	1801.38	-1.0	221.923	0.972086	0.148596	-1009002,21	
11	-1	1009213	1801.05	1.0	330.085	2.66295	3.04284	1009002,21	
12	-1	1009113	1801.05	0.0	1213.73	-1.21858	-1.37288	-1009002,21,21,21	
12	-1	1009213	1801.05	-1.0	1209.83	-1.45057	1.78828	1009002,21	
13	-1	1009223	1800.75	0.0	1024.18	-0.317199	-0.614395	1009002,-2	
13	-1	1009223	1801.05	0.0	1018.72	-0.134383	2.53036	-1009002,21,21	
14	-1	1009223	1801.05	0.0	891.956	0.688731	1.73161	1009002,21	
14	-1	1009213	1801.05	-1.0	913.867	0.559335	-1.35379	-1009002,21	
17	-1	1093224	1801.55	1.0	302.87	2.13678	1.79252	1009002,21	
17	-1	1009213	1801.05	1.0	253.827	1.84548	1.74775	1009002,21	
19	-1	1009213	1801.05	-1.0	954.347	-0.259337	-0.860176	-1009002,21,21	
19	-1	1009213	1801.05	-1.0	1126.72	-0.174778	2.20513	-1009002,21,21	
20	-1	1009213	1801.05	-1.0	441.861	-1.28554	1.96247	-1009002,21	
20	-1	1092214	1801.38	1.0	435.007	-1.79326	-1.14461	1009002,21,21	
23	-1	1009323	1801.22	-1.0	1266.43	1.03598	-0.269465	1009002,21	
23	-1	1000993	1801.1	0.0	1277.51	0.64648	2.80174	1009002,21	
24	-1	1009113	1801.05	0.0	444.164	-1.98437	2.00895	-1009002,21	
24	-1	1009313	1801.22	0.0	461.43	0.111248	-1.05337	-1009002,21	
25	-1	1009213	1801.05	1.0	530.624	1.68231	-1.56085	1009002,21	
25	-1	1000993	1801.1	0.0	167.291	-2.28204	2.3912	-1009002,21,21,21	
26	-1	1009313	1801.22	0.0	695.952	0.192743	-1.78943	1009002,21	
26	-1	1009313	1801.22	0.0	933.548	-0.497916	1.4549	1009002,21	
27	-1	1000993	1801.1	0.0	432.676	0.290313	2.46264	-1009002,21,21,21	
27	-1	1009213	1801.05	-1.0	499.17	-0.827254	-0.711455	1009002,21,21	
30	-1	1009223	1801.05	0.0	1205	0.821587	-0.728152	1009002,21,-3	
30	-1	1009223	1801.05	0.0	1212.92	-0.648491	2.41967	-1009002,21,21	
32	-1	1009213	1801.05	-1.0	803.343	-0.346499	-0.340754	-1009002,21,21,21	
32	-1	1009223	1801.05	0.0	636.424	1.28812	2.61607	1009002,21,21,21	
34	-1	1091114	1801.38	1.0	507.191	0.203716	-1.9035	-1009002,2	
34	-1	1009213	1801.05	-1.0	629.747	-1.21179	0.971598	1009002,21	
35	-1	1009113	1801.05	0.0	1203.14	-1.10481	1.49951	-1009002,21,21	
35	-1	1009113	1801.05	0.0	1119.15	-1.00441	-1.74168	1009002,21,21,21	
37	-1	1009213	1801.05	-1.0	693.655	-0.78538	1.32961	-1009002,21,21	
37	-1	1009223	1801.05	0.0	744.161	-0.949433	-1.75753	1009002,21	
38	-1	1009323	1801.27	1.0	725.596	-1.36077	-0.351996	-1009002,2	
38	-1	1009223	1801.05	0.0	722.384	-1.19045	2.78805	-1009002,21	
41	-1	1009213	1801.05	-1.0	961.862	0.774281	-2.32378	-1009002,21	
41	-1	1009213	1801.05	-1.0	984.3	-0.375184	0.484125	-1009002,21	
43	-1	1009213	1801.05	1.0	342.585	-2.11658	1.33156	-1009002,21	
43	-1	1009213	1801.05	-1.0	333.029	-0.362491	-1.86184	1009002,21,21	
46	-1	1009113	1801.05	0.0	821.249	-0.602223	0.220159	-1009002,21,21	
46	-1	1009213	1801.05	-1.0	730.538	-1.50077	-3.10614	1009002,21,21	
48	-1	1009213	1801.05	1.0	557.276	-1.44053	3.00543	-1009002,21,21	
48	-1	1009113	1801.05	0.0	564.908	1.89676	-0.10594	1009002,21,21	
49	-1	1009213	1801.05	-1.0	1067.78	0.519303	1.32788	-1009002,21	
49	-1	1009213	1801.05	-1.0	1075.5	1.06144	-1.81352	1009002,21,21	
50	-1	1093214	1801.55	0.0	946.325	-0.0854717	2.15571	-1009002,21,21	
50	-1	1009213	1801.05	1.0	674.931	-1.66082	-0.688553	1009002,21,21	
51	-1	1009113	1801.05	0.0	780.844	0.224741	0.548511	-1009002,21	
