event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
1	1009213	1801.05	-1.0	887.204	2411.08	-1.19742	2.60501	-1009002,21,1		0
2	1009113	1801.05	0.0	1302.07	2273.22	0.359251	-0.314746	1009002,21		0
6	1009113	1801.05	0.0	714.512	1958.87	-0.392672	-0.301782	-1009002,21		0
7	1092114	1801.38	0.0	681.633	2487.04	1.57362	2.72167	1009002,21		0
11	1009333	1801.4	0.0	192.414	1902.02	-1.82187	-2.51341	-1009002,21,21		0
12	1009313	1801.22	0.0	232.029	1947.89	1.82957	2.4439	1009002,-3		0
13	1092114	1801.38	0.0	354.648	2600.99	2.34998	-2.9922	-1009002,21		0
14	1092114	1801.38	0.0	367.739	1930.71	-1.25054	0.123454	-1009002,21		0
17	1092214	1801.38	-1.0	221.923	1832.31	0.972086	0.148596	-1009002,21		0
19	1009213	1801.05	1.0	330.085	2983.04	2.66295	3.04284	1009002,21		0
20	1009113	1801.05	0.0	1213.73	2868.08	-1.21858	-1.37288	-1009002,21,21,21		0
23	1009213	1801.05	-1.0	1209.83	3264	-1.45057	1.78828	1009002,21		0
24	1009223	1800.75	0.0	1024.18	2097.8	-0.317199	-0.614395	1009002,-2		0
25	1009223	1801.05	0.0	1018.72	2073.75	-0.134383	2.53036	-1009002,21,21		0
26	1009223	1801.05	0.0	891.956	2116.68	0.688731	1.73161	1009002,21		0
27	1009213	1801.05	-1.0	913.867	2090.13	0.559335	-1.35379	-1009002,21		0
30	1093224	1801.55	1.0	302.87	2222.11	2.13678	1.79252	1009002,21		0
32	1009213	1801.05	1.0	253.827	1980.41	1.84548	1.74775	1009002,21		0
34	1009213	1801.05	-1.0	954.347	2053.58	-0.259337	-0.860176	-1009002,21,21		0
35	1009213	1801.05	-1.0	1126.72	2133.65	-0.174778	2.20513	-1009002,21,21		0
37	1009213	1801.05	-1.0	441.861	1995.89	-1.28554	1.96247	-1009002,21		0
38	1092214	1801.38	1.0	435.007	2247.02	-1.79326	-1.14461	1009002,21,21		0
41	1009323	1801.22	-1.0	1266.43	2698.25	1.03598	-0.269465	1009002,21		0
43	1000993	1801.1	0.0	1277.51	2378.77	0.64648	2.80174	1009002,21		0
46	1009113	1801.05	0.0	444.164	2439.94	-1.98437	2.00895	-1009002,21		0
48	1009313	1801.22	0.0	461.43	1860.1	0.111248	-1.05337	-1009002,21		0
49	1009213	1801.05	1.0	530.624	2328.7	1.68231	-1.56085	1009002,21		0
50	1000993	1801.1	0.0	167.291	1982.3	-2.28204	2.3912	-1009002,21,21,21		0
51	1009313	1801.22	0.0	695.952	1935.71	0.192743	-1.78943	1009002,21		0
52	1009313	1801.22	0.0	933.548	2085.77	-0.497916	1.4549	1009002,21		0
55	1000993	1801.1	0.0	432.676	1856.72	0.290313	2.46264	-1009002,21,21,21		0
57	1009213	1801.05	-1.0	499.17	1925.12	-0.827254	-0.711455	1009002,21,21		0
58	1009223	1801.05	0.0	1205	2432.55	0.821587	-0.728152	1009002,21,-3		0
60	1009223	1801.05	0.0	1212.92	2329.25	-0.648491	2.41967	-1009002,21,21		0
62	1009213	1801.05	-1.0	803.343	1992.43	-0.346499	-0.340754	-1009002,21,21,21		0
68	1009223	1801.05	0.0	636.424	2187.54	1.28812	2.61607	1009002,21,21,21		0
69	1091114	1801.38	1.0	507.191	1874.3	0.203716	-1.9035	-1009002,2		0
71	1009213	1801.05	-1.0	629.747	2137.72	-1.21179	0.971598	1009002,21		0
72	1009113	1801.05	0.0	1203.14	2702.75	-1.10481	1.49951	-1009002,21,21		0
74	1009113	1801.05	0.0	1119.15	2499.25	-1.00441	-1.74168	1009002,21,21,21		0
76	1009213	1801.05	-1.0	693.655	2021.88	-0.78538	1.32961	-1009002,21,21		0
78	1009223	1801.05	0.0	744.161	2113.28	-0.949433	-1.75753	1009002,21		0
80	1009323	1801.27	1.0	725.596	2348.96	-1.36077	-0.351996	-1009002,2		0
82	1009223	1801.05	0.0	722.384	2219.83	-1.19045	2.78805	-1009002,21		0
83	1009213	1801.05	-1.0	961.862	2200.84	0.774281	-2.32378	-1009002,21		0
92	1009213	1801.05	-1.0	984.3	2086.99	-0.375184	0.484125	-1009002,21		0
96	1009213	1801.05	1.0	342.585	2307.71	-2.11658	1.33156	-1009002,21		0
100	1009213	1801.05	-1.0	333.029	1835.73	-0.362491	-1.86184	1009002,21,21		0
101	1009113	1801.05	0.0	821.249	2047.9	-0.602223	0.220159	-1009002,21,21		0
107	1009213	1801.05	-1.0	730.538	2490.23	-1.50077	-3.10614	1009002,21,21		0
109	1009213	1801.05	1.0	557.276	2188.14	-1.44053	3.00543	-1009002,21,21		0
110	1009113	1801.05	0.0	564.908	2635.98	1.89676	-0.10594	1009002,21,21		0
112	1009213	1801.05	-1.0	1067.78	2172.57	0.519303	1.32788	-1009002,21		0
113	1009213	1801.05	-1.0	1075.5	2504.57	1.06144	-1.81352	1009002,21,21		0
114	1093214	1801.55	0.0	946.325	2036.58	-0.0854717	2.15571	-1009002,21,21		0
116	1009213	1801.05	1.0	674.931	2575.04	-1.66082	-0.688553	1009002,21,21		0
117	1009113	1801.05	0.0	780.844	1970.99	0.224741	0.548511	-1009002,21		0
118	1009313	1801.22	0.0	850.931	2178.51	-0.906715	-2.67802	1009002,21,21		0
119	1009213	1801.05	1.0	1035.67	2492.44	-1.0963	1.8326	1009002,21		0
121	1009223	1801.05	0.0	1071.79	2096.22	-0.0374568	-1.40168	-1009002,21		0
122	1009223	1801.05	0.0	1769.21	2581.27	0.299401	0.538365	-1009002,4		0
123	1009223	1801.05	0.0	1332.56	2390.3	0.590289	-2.60711	1009002,21,21		0
125	1009213	1801.05	-1.0	467.153	1907.34	-0.807311	0.077837	1009002,21,21		0
126	1009113	1801.05	0.0	460.542	1918.39	-0.901365	-2.96693	1009002,21		0
127	1009223	1801.05	0.0	687.15	2045.08	-0.877024	1.58793	1009002,21,21		0
128	1009213	1801.05	1.0	680.584	2789.42	-1.80753	-1.56514	-1009002,21,21,21		0
129	1009313	1801.22	0.0	938.615	2630.45	-1.34108	2.31525	1009002,21,21		0
131	1009323	1801.22	-1.0	1021.31	2103.1	0.353102	-0.8006	1009002,21,21,21		0
132	1009313	1801.22	0.0	396.274	1879.43	-0.818288	1.635	1009002,21		0
133	1009223	1801.05	0.0	358.52	2300.94	-2.06191	-0.601018	1009002,21,21		0
134	1009323	1801.22	1.0	518.271	1944.08	0.878524	0.624002	1009002,21,21		0
135	1009313	1801.22	0.0	496.536	1941.55	-0.925324	-2.50837	-1009002,21,21		0
136	1009113	1801.05	0.0	732.01	2023.81	-0.707599	-1.35386	-1009002,21		0
137	1000993	1801.1	0.0	735.808	1998.05	0.584253	1.85635	1009002,21,21,-4		0
141	1093214	1801.55	0.0	1654.03	2449.73	0.0849472	-2.14714	1009002,21,21		0
142	1009213	1801.05	-1.0	1817.93	2565.22	-0.0977927	0.995347	1009002,2101		0
145	1009113	1801.05	0.0	799.156	2444.77	1.35574	0.7364	1009002,21,21		0
149	1009113	1801.05	0.0	828.772	2026.24	0.485447	-2.39309	-1009002,21,21		0
151	1009313	1801.22	0.0	1298.37	3015.76	1.23393	0.0356655	-1009002,21		0
152	1009213	1801.05	-1.0	622.757	2428.93	1.61646	-2.76106	1009002,21,21		0
154	1009223	1801.05	0.0	1674.17	2461.43	0.0653691	0.294798	-1009002,21		0
