event	pdgid	mass	charge	pt	energy	eta	phi	mothers	daughters	longLived
1	1009333	1801.4	0.0	612.592	2035.54	1.00353	-1.87014	-1009002,21		0
2	1009313	1801.22	0.0	533.537	1954.94	-0.891272	0.927697	1009002,21		0
3	1009313	1801.22	0.0	691.763	2687.35	-1.72044	0.477208	-1009002,21,21		0
4	1000993	1801.1	0.0	62.4646	1804.1	1.09802	-1.71453	1009002,21		0
7	1000993	1801.1	0.0	110.937	1808.67	-0.95348	-0.777546	-1009002,21,21		0
9	1009213	1801.05	1.0	130.634	1870.87	2.03086	1.50772	-1009002,21		0
11	1009113	1801.05	0.0	392.812	1889.47	-0.920336	1.59404	-1009002,21		0
12	1009213	1801.05	-1.0	394.606	2412.1	2.08035	-1.53394	1009002,-2		0
13	1009213	1801.05	-1.0	249.73	2188.7	-2.28832	-2.58718	-1009002,21,21		0
14	1092214	1801.38	-1.0	244.872	2054.23	2.07172	0.506114	1009002,21		0
15	1009223	1801.05	0.0	716.792	2945.54	-1.84778	-2.04587	1009002,21,21		0
16	1009213	1801.05	-1.0	702.769	1943.68	-0.281641	1.06829	-1009002,21		0
19	1009213	1801.05	-1.0	699.385	2343.23	-1.396	-2.84769	-1009002,21		0
22	1092214	1801.38	1.0	866.563	2038.64	0.446806	0.410496	1009002,-4		0
25	1009113	1801.05	0.0	818.4	2030.87	-0.535198	-0.977562	-1009002,21		0
26	1009213	1801.05	-1.0	982.342	2387.9	-1.04382	2.06966	1009002,21,21		0
27	1009113	1801.05	0.0	593.966	2008.34	-0.958897	-2.15022	1009002,21		0
29	1009113	1801.05	0.0	594.415	1992.99	-0.902471	1.00745	-1009002,21,21,21,21		0
31	1009113	1801.05	0.0	696.543	3962.7	-2.30612	-0.0767731	-1009002,21,21		0
33	1009213	1801.05	-1.0	714.456	2083.71	0.932008	-3.11632	1009002,21,21		0
35	1009113	1801.05	0.0	1625.95	2808.17	0.785955	1.83846	1009002,21,21		0
36	1092114	1801.38	0.0	1624.04	2547.15	-0.462479	-1.30167	-1009002,21,21		0
37	1009213	1801.05	-1.0	446.775	1995.71	-1.27206	1.98715	-1009002,21,21		0
38	1000993	1801.1	0.0	424.833	2246.47	-1.81781	-1.1581	1009002,-2		0
40	1009213	1801.05	1.0	684.847	2224.29	-1.26085	-2.55629	-1009002,21,21		0
43	1009113	1801.05	0.0	666.509	2332.5	-1.43745	0.515326	1009002,21,21,21		0
44	1009323	1801.22	-1.0	264.685	1944.64	1.67738	-0.823678	-1009002,21		0
45	1009323	1801.22	1.0	532.287	2317.67	-1.66603	2.24457	1009002,21		0
46	1092214	1801.38	-1.0	240.853	1856.22	1.23176	-1.85797	-1009002,21,21		0
47	1009323	1801.22	1.0	246.415	1879.85	-1.41686	1.19003	1009002,21,21		0
50	1009213	1801.05	-1.0	475.753	1868.28	0.295444	2.44294	-1009002,21,21		0
51	1009223	1801.05	0.0	461.752	1908.72	-0.83433	-0.696333	1009002,21,21		0
54	1009213	1801.05	-1.0	1020.27	2202.68	0.683586	-0.716142	-1009002,21		0
55	1092224	1801.38	-2.0	1113.88	2120.2	0.0876834	2.41834	1009002,-3		0
