#Exclusive (bad private samples)																			
species	mass	ptj	ptb	xqcut(MG5)	icckw	qcut(P8)	Summary Cross_section (Generation log)	Summary Cross_section Error (Generation log)	Process@1	Process@1 Error	Process@2	Process@2 Error	Process@3	Process@3 Error	Cross-section Sum @2-3	Cross-section Sum @2-3 Error	Cross-section Sum @2-3/Total Cross-section	Cross-section Sum @2-3/Total Cross-section Error	Ratio: Excusive/Inclusive(Sum @2-3)
gluino	1000	150	150	150	1	150	0.2686	0.0009696	0.1870101	0.0006917238	0.06851449	0.001123013	0.01434896	0.0002168179	0.082863	0.001143751809	0.3084996277	0.004401410944	N/A
gluino	1100	150	150	150	1	150	0.1332	0.000434	0.092168	0.0003441447	0.03481079	0.000543059	0.007072991	0.0001065274	0.041884	0.0005534086776	0.3144444444	0.004279179982	N/A
gluino	1200	150	150	150	1	150	0.06853	0.0002745	0.047177	0.0002114167	0.01780483	0.000275856	0.003854213	0.00005873763	0.021659	0.0002820401424	0.3160513644	0.00430587757	N/A
gluino	1300	150	150	150	1	150	0.03608	0.0001294	0.02481279	0.0001136183	0.009472235	0.0001423237	0.002048892	0.00002971318	0.011521	0.0001453922579	0.3193181818	0.004189293279	N/A
gluino	1400	150	150	150	1	150	0.01956	0.00005309	0.01341096	0.00005270619	0.005152895	0.00007943456	0.001131374	0.00001706665	0.0062843	0.00008124727604	0.3212832311	0.004244295672	N/A
gluino	1500	150	150	150	1	150	0.01082	0.00004174	0.00740662	0.00003474933	0.002803533	0.00004306503	0.0006705378	0.00001233283	0.0034741	0.00004479615502	0.3210813309	0.004321438608	N/A
gluino	1600	150	150	150	1	150	0.00608	0.00002073	0.00417861	0.00001980854	0.001569269	0.00002247308	0.0003704635	0.000005892665	0.0019397	0.00002323279633	0.3190296053	0.003972987697	N/A
gluino	1800	150	150	150	1	150	0.002025	0.000006931	0.001395109	0.000006847208	0.0005204868	0.000008107563	0.0001232198	0.000001862584	0.00064371	0.000008318761744	0.3178814815	0.004249670315	N/A
gluino	2000	150	150	150	1	150	0.0007152	0.000002526	0.000496437	0.000002462667	0.000183165	0.000003073003	0.00003879648	0.0000005930206	0.00022196	0.000003129699805	0.3103467562	0.004511168221	N/A
gluino	2200	150	150	150	1	150	0.0002672	0.0000007111	0.0001869292	0.0000008836192	0.00006658313	0.000001141674	0.0000140674	0.0000002108829	0.000080651	0.000001160987132	0.3018375749	0.00441864089	N/A
gluino	2400	150	150	150	1	150	0.000106	0.0000003267	0.0000756409	0.0000003779028	0.00002587222	0.0000004703236	0.000005311354	0.0000000786986	0.000031184	0.0000004768624103	0.2941886792	0.004589166119	N/A
gluino	2600	150	150	150	1	150	0.00004496	0.0000001474	0.00003277078	0.0000001752668	0.00001025323	0.0000001826978	0.000002128417	0.00000003434235	0.000012382	0.0000001858975071	0.2754003559	0.004232164242	N/A
																			
#Inclusive																			
gluino	1000	20	20	0	0	N/A	0.8044	0.001825	0.1865041	0.0009186808	0.2754949	0.003816271	0.3397546	0.003777659	0.6152495	0.00536978881	0.7648551716	0.006897374783	
gluino	1000	20	20	20	1	N/A	1.115	0.00311	0.1868571	0.001067081	0.3977424	0.005345764	0.5188162	0.006140466	0.9165586	0.008141407461	0.8220256502	0.007653236283	0.090407
gluino	1000	20	20	40	1	N/A	0.6181	0.001318	0.1869341	0.0008040428	0.2442871	0.003262306	0.1860187	0.002527602	0.4303058	0.004126913169	0.6961750526	0.006839808594	0.19257
gluino	1000	20	20	50	1	N/A	0.52	0.00122	0.1873738	0.0007629259	0.204067	0.002707191	0.1274751	0.001673108	0.3315421	0.003182479142	0.6375809615	0.006300307064	0.24993
																			
gluino	1100	20	20	0	0	N/A	0.3937	0.0007156	0.091951	0.000469477	0.1331004	0.001705479	0.1640281	0.001861901	0.2971285	0.002524942366	0.7547078994	0.006558433026	
gluino	1100	20	20	20	1	N/A	0.5493	0.0009684	0.092262	0.000544757	0.1991465	0.002726915	0.2545025	0.002706625	0.453649	0.003842119768	0.8258674677	0.007144504975	0.092326
gluino	1100	20	20	40	1	N/A	0.3069	0.0006371	0.092092	0.0004158588	0.1191926	0.001537915	0.09351173	0.001211893	0.21270433	0.001958026351	0.6930737374	0.006540231527	0.19691
gluino	1100	20	20	50	1	N/A	0.2577	0.0006149	0.0923385	0.000385774	0.1006012	0.001240247	0.06387765	0.0008051974	0.16447885	0.001478700603	0.6382570819	0.005936735062	2.55E-01
																			
gluino	1200	20	20	0	0	N/A	0.1994	0.0004569	0.047088	0.0002822322	0.06840897	0.0009912413	0.08428582	0.0009285201	0.15269479	0.001358200608	0.7657712638	0.007033814056	
gluino	1200	20	20	20	1	N/A	0.2808	0.0006738	0.047226	0.0003281933	0.1009864	0.001383276	0.1299042	0.001424465	0.2308906	0.001985586319	0.8222599715	0.007341290771	0.093807
