event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
3	1009213	1001.0499877929688	-1	459.9181213378906	-0.26264485716819763	-0.4669395387172699	1108.402381153307	0	-1009002,21	
3	1009213	1001.0499877929688	1	387.06658935546875	1.925129771232605	2.827458381652832	1684.7541804407879	0	1009002,-2	
4	1009113	1001.0499877929688	0	49.72624588012695	2.5393521785736084	1.9706662893295288	1050.0471774660075	0	-1009002,21,21	
4	1009213	1001.0499877929688	1	109.71585845947266	-0.8795306086540222	-1.1276705265045166	1012.9726507524817	0	-1009002,21	
6	1009213	1001.0499877929688	1	203.85443115234375	-0.2951209247112274	-2.677623987197876	1023.4175325610269	0	-1009002,21,21	
6	1009213	1001.0499877929688	-1	295.93646240234375	0.6093040704727173	-0.11476586014032364	1061.329912731191	0	1009002,21,21	
7	1009213	1001.0499877929688	1	851.8291015625	-0.14752225577831268	1.7007696628570557	1320.462101848766	0	1009002,21,21	
7	1009223	1001.0499877929688	0	805.4819946289062	0.18063770234584808	-1.2088619470596313	1293.1759200046706	0	1009002,21	
8	1009323	1001.2249755859375	1	386.3873596191406	-1.8376250267028809	-2.6286370754241943	1597.1182992782556	0	-1009002,21	
8	1009213	1001.0499877929688	-1	183.0733642578125	-1.3658955097198486	-0.025861747562885284	1071.4982570094303	0	1009002,21	
10	1000993	1001.0999755859375	0	191.8777618408203	2.7415666580200195	3.12264347076416	1798.663263767046	0	1009002,21,21	
10	1009213	1001.0499877929688	-1	255.4935302734375	-1.0018421411514282	0.3247687518596649	1076.0896016469649	0	-1009002,21,21	
12	1009213	1001.0499877929688	1	680.2992553710938	-0.5866906642913818	2.1369357109069824	1281.930696550945	0	-1009002,21	
12	1009113	1001.0499877929688	0	638.2109375	-1.4365450143814087	-0.8671296238899231	1735.8050343011319	0	1009002,21,21	
13	1009213	1001.0499877929688	1	252.14476013183594	-0.962137758731842	-1.809777021408081	1070.088004256644	0	1009002,21	
