event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
1	-1	1000993	1801.1	0.0	596.056	1.1815	0.937295	-1009002,21,21	
1	-1	1009323	1801.22	1.0	576.008	1.49221	-2.24903	1009002,21,21	
4	-1	1009113	1801.05	0.0	1329.9	-0.168416	0.0197016	-1009002,21	
4	-1	1092114	1801.38	0.0	1211.05	0.589747	-3.04253	1009002,21,21,21	
6	-1	1009223	1801.05	0.0	280.655	-1.22007	2.55416	-1009002,2	
6	-1	1009213	1801.05	1.0	316.052	1.67146	-0.686884	1009002,21	
7	-1	1009113	1801.05	0.0	1084.26	1.00526	0.309138	1009002,21	
7	-1	1009213	1801.05	1.0	1079.91	0.340885	-2.85116	-1009002,21	
10	-1	1009113	1801.05	0.0	376.874	-1.16482	0.62542	-1009002,21,21	
10	-1	1093214	1801.55	0.0	375.754	-1.71205	-2.51778	1009002,21,21	
13	-1	1009223	1801.05	0.0	636.704	-1.61108	0.399274	-1009002,21,21	
13	-1	1009213	1801.05	-1.0	646.096	1.99772	-2.73859	1009002,21	
14	-1	1009113	1801.05	0.0	868.954	-0.111476	1.08144	-1009002,2	
14	-1	1009113	1801.05	0.0	840.649	0.522515	-2.074	1009002,21	
20	-1	1091114	1801.38	1.0	1960.78	0.695196	2.47907	-1009002,1	
20	-1	1009213	1801.05	1.0	1959.92	1.18581	-0.685659	1009002,21,21	
21	-1	1009213	1801.05	1.0	558.948	-0.430625	1.34351	-1009002,21	
21	-1	1009313	1801.22	0.0	564.881	-1.8262	-1.86308	1009002,21,21	
22	-1	1009113	1801.05	0.0	815.772	1.31899	-1.15648	1009002,21	
22	-1	1009213	1801.05	1.0	583.171	-0.494843	2.09888	-1009002,21	
24	-1	1009113	1801.05	0.0	853.916	1.83854	-0.181365	1009002,21,21	
24	-1	1009113	1801.05	0.0	862.566	0.326951	2.94359	-1009002,2	
25	-1	1000993	1801.1	0.0	1070.66	-0.345607	-2.23869	-1009002,21,21	
25	-1	1009213	1801.05	-1.0	1032.25	-1.24273	0.87854	1009002,21	
26	-1	1009223	1801.05	0.0	765.032	-0.949843	1.66855	-1009002,21,21	
26	-1	1009323	1801.22	1.0	818.609	-1.24253	-1.45123	1009002,21,21,21	
27	-1	1009113	1801.05	0.0	757.997	-1.21269	-1.70824	-1009002,21	
27	-1	1009213	1801.05	-1.0	856.417	0.848579	1.43744	1009002,21,21	
29	-1	1009113	1801.05	0.0	722.678	1.6181	3.10255	-1009002,21,21	
29	-1	1092114	1801.38	0.0	406.992	0.043344	0.292573	1009002,21,21	
33	-1	1009323	1801.22	-1.0	285.68	0.252272	2.1102	-1009002,21,21	
33	-1	1009213	1801.05	1.0	310.286	-1.37506	-1.48208	1009002,-3	
34	-1	1009213	1801.05	1.0	1107.07	1.29755	-2.09454	-1009002,1	
34	-1	1009323	1801.22	1.0	1296.93	0.0591958	1.01432	1009002,21	
42	-1	1009313	1801.22	0.0	221.735	-1.64633	-1.78032	-1009002,21,21	
42	-1	1009223	1801.05	0.0	228.391	1.6026	1.79081	1009002,21	
48	-1	1009313	1801.22	0.0	1156.25	0.122512	-2.94341	-1009002,21,21	
