event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
3	1009213	1001.05	-1.0	459.918	1108.4	-0.262645	-0.46694	-1009002,21		0
4	1009213	1001.05	1.0	387.067	1684.75	1.92513	2.82746	1009002,-2		0
6	1009113	1001.05	0.0	49.7262	1050.05	2.53935	1.97067	-1009002,21,21		0
7	1009213	1001.05	1.0	109.716	1012.97	-0.879531	-1.12767	-1009002,21		0
8	1009213	1001.05	1.0	203.854	1023.42	-0.295121	-2.67762	-1009002,21,21		0
10	1009213	1001.05	-1.0	295.936	1061.33	0.609304	-0.114766	1009002,21,21		0
12	1009213	1001.05	1.0	851.829	1320.46	-0.147522	1.70077	1009002,21,21		0
13	1009223	1001.05	0.0	805.482	1293.18	0.180638	-1.20886	1009002,21		0
14	1009323	1001.22	1.0	386.387	1597.12	-1.83763	-2.62864	-1009002,21		0
20	1009213	1001.05	-1.0	183.073	1071.5	-1.3659	-0.0258617	1009002,21		0
21	1000993	1001.1	0.0	191.878	1798.66	2.74157	3.12264	1009002,21,21		0
22	1009213	1001.05	-1.0	255.494	1076.09	-1.00184	0.324769	-1009002,21,21		0
30	1009213	1001.05	1.0	680.299	1281.93	-0.586691	2.13694	-1009002,21		0
34	1009113	1001.05	0.0	638.211	1735.81	-1.43655	-0.86713	1009002,21,21		0
35	1009213	1001.05	1.0	252.145	1070.09	-0.962138	-1.80978	1009002,21		0
38	1009213	1001.05	-1.0	359.001	1174.25	-1.13032	0.557523	-1009002,21		0
39	1009213	1001.05	-1.0	446.224	2690.1	2.40705	-1.58848	1009002,-1		0
40	1091114	1001.38	1.0	441.822	1113.83	0.451968	1.55487	-1009002,21,21		0
41	1009213	1001.05	-1.0	354.512	1084.3	-0.583788	-1.92622	-1009002,21		0
42	1009223	1001.05	0.0	450.134	1231.34	1.04124	1.46099	1009002,21,21,21		0
44	1009113	1001.05	0.0	1108.44	1519.71	0.250592	-0.0232702	1009002,21,21		0
46	1009113	1001.05	0.0	1149.41	1527.68	-0.0892158	3.04111	-1009002,21,21		0
47	1000993	1001.1	0.0	163.729	2237.71	-3.1948	2.94992	1009002,21,21		0
48	1009213	1001.05	1.0	144.956	1012.44	-0.297713	-2.24775	-1009002,21		0
50	1009223	1001.05	0.0	48.6425	1002.25	0.124373	-0.277143	-1009002,21		0
52	1000993	1001.1	0.0	75.5778	1207.11	2.87875	2.21068	1009002,21		0
59	1009213	1001.05	1.0	959.909	1412	-0.27264	-2.83268	-1009002,21		0
60	1092114	1001.38	0.0	956.325	1920.5	-1.13307	0.227618	-1009002,21,21		0
61	1009223	1001.05	0.0	89.5266	1017.02	-1.32009	2.85364	1009002,21		0
62	1009113	1001.05	0.0	423.135	1138.86	0.73613	-0.906383	-1009002,21		0
64	1009213	1001.05	-1.0	510.392	1500.53	-1.42035	1.04841	1009002,21,21		0
66	1009223	1001.05	0.0	439.212	1385.05	-1.41485	-1.9852	-1009002,21		0
68	1009213	1001.05	1.0	780.33	1271.42	-0.0948153	-2.90213	1009002,21,21,21		0
69	1009313	1001.22	0.0	711.487	1790.62	1.36554	0.315815	1009002,-2		0
70	1009213	1001.05	1.0	344.061	1098.72	-0.775675	0.420524	-1009002,21,21		0
71	1009113	1001.05	0.0	343.701	1060.28	0.182336	-2.73523	1009002,21,21,21		0
72	1009113	1001.05	0.0	603.255	1225.19	0.576738	-2.5863	-1009002,21		0
73	1009113	1001.05	0.0	584.869	1195.92	-0.482621	0.560414	1009002,21,21		0
77	1009113	1001.05	0.0	207.746	1032.9	0.659025	-2.89167	1009002,21		0
78	1009223	1001.05	0.0	149.699	1587.92	-2.79772	0.331837	1009002,21		0
81	1009113	1001.05	0.0	640.67	1420.52	1.02515	2.27264	-1009002,2		0
83	1009213	1001.05	1.0	276.497	1207.84	1.54218	0.803427	1009002,21,21		0
85	1000993	1001.1	0.0	550.526	1146.64	0.176264	-1.69871	-1009002,21		0
87	1009213	1001.05	-1.0	517.701	1203.75	-0.745883	1.46291	1009002,21,21		0
88	1009313	1001.22	0.0	479.963	1320.77	-1.18936	0.165781	-1009002,21,21		0
90	1000993	1001.1	0.0	460.696	1652.88	-1.70998	2.94661	1009002,21		0
92	1092114	1001.38	0.0	52.7146	1085.05	2.75933	-1.44641	-1009002,21,21		0
95	1092114	1001.38	0.0	333.428	1255.94	1.46216	2.7848	1009002,21,21,21		0
97	1009113	1001.05	0.0	396.831	1087.69	-0.377311	0.715933	-1009002,21		0
98	1009213	1001.05	-1.0	248.42	1095.74	1.18869	-1.26545	1009002,21		0
102	1000993	1001.1	0.0	631.29	1207.34	0.369523	-0.60122	1009002,21		0
103	1009223	1001.05	0.0	781.481	1343.03	0.533438	2.32607	-1009002,21,21		0
106	1009213	1001.05	1.0	646.09	1486.78	-1.12427	0.204182	1009002,21,21		0
107	1009223	1001.05	0.0	631.062	1689.36	-1.40289	-2.91976	-1009002,21		0
